Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
16000,26,0,1,1,1,0,0,4.7,16,0,0,0,1,0,0,0,1
16000,23,0,1,1,1,0,1,4.3,66.5,1,1,1,0,0,0,0,1
16000,28,0,1,1,1,0,0,4,3,0,1,1,0,0,0,0,1
16000,22,1,1,1,1,0,0,4.1,254,1,1,0,1,0,0,0,1
16000,27,0,1,1,1,0,0,4.6,54,1,0,0,0,1,0,0,1
16000,28,1,1,1,1,0,1,4.3,66.5,0,1,1,1,0,0,0,1
16000,24,1,1,1,1,0,0,4.6,16,0,0,0,1,1,0,0,1
16000,27,0,1,1,1,0,0,4.2,85,0,0,1,0,1,0,0,1
16000,27,1,1,1,1,0,0,4,23,0,0,0,0,0,0,0,1
16000,30,0,1,1,1,0,1,4.2,301,1,0,0,0,0,0,0,1
16000,26,1,1,1,1,0,1,4.3,66.5,0,0,1,1,0,0,0,1
16000,26,0,1,1,1,0,0,4.3,66.5,1,1,0,1,0,0,0,1
16000,24,0,1,1,1,0,0,5,1,1,0,1,0,1,0,0,1
16000,26,0,1,1,1,0,1,4.3,396,1,0,0,1,1,0,0,1
16000,23,0,1,1,1,0,0,4.3,66.5,1,0,0,1,0,0,0,1
16000,27,1,1,1,1,0,1,2.2,9,0,0,0,0,0,0,0,1
16000,24,0,1,1,1,0,1,4.3,66.5,0,0,0,0,0,0,0,1
16000,20,0,1,1,1,0,1,5,3,1,1,0,1,0,0,0,1
16000,22,1,1,1,1,0,0,4.3,396,1,1,0,1,0,0,0,1
16000,25,1,1,1,1,0,0,4.4,63,1,0,0,0,1,0,0,1
16000,26,1,1,1,1,0,0,4.6,5452,1,1,1,1,0,0,0,1
16000,30,1,1,1,1,0,1,3.9,58,1,0,0,0,0,0,0,1
16000,23,0,1,1,1,0,0,4.3,66.5,0,1,0,0,1,0,0,1
16000,29,0,1,1,1,0,1,4.5,152,0,1,1,1,0,0,0,1
16000,27,1,1,1,1,0,1,4.3,375,0,0,0,1,1,0,0,1
16000,24,1,1,1,1,0,0,4.3,66.5,1,1,0,1,1,0,0,1
16000,28,1,1,1,1,0,1,4.1,140,0,1,1,1,0,0,0,1
16500,25,1,1,1,1,0,1,4,23,1,0,0,0,1,0,0,1
16500,24,1,1,1,1,0,0,4.2,85,1,0,1,1,1,0,0,1
16500,27,0,1,1,1,0,0,4.2,121,1,1,0,1,0,0,0,1
16800,21,0,1,1,1,0,1,4.3,66.5,1,1,1,1,1,0,0,1
17000,26,1,1,1,1,0,0,4.3,66.5,0,1,1,1,1,0,0,1
17000,26,1,1,1,1,0,1,4.3,66.5,0,0,0,1,1,0,0,1
17000,28,0,1,1,1,0,0,5,2,0,0,1,0,1,0,0,1
17000,29,1,1,1,1,0,1,4.3,396,1,1,1,0,1,0,0,1
17000,29,0,1,1,1,0,1,4,136,1,1,1,1,1,0,0,1
17000,25,1,1,1,1,0,1,4.6,16,1,1,0,0,1,0,0,1
17000,20,1,1,1,1,0,1,4.3,66.5,1,1,0,1,1,0,0,1
17000,20,0,1,1,1,0,1,3.9,87,0,1,1,0,1,0,0,1
17000,23,0,1,1,1,0,1,4.3,66.5,0,0,0,0,1,0,0,1
17000,23,0,1,1,1,0,0,3.7,365,1,0,0,1,1,0,0,1
17000,21,1,1,1,1,0,0,4.3,66.5,0,0,0,0,1,0,0,1
17000,20,0,1,1,1,0,0,4.3,66.5,1,0,1,1,0,0,0,1
17000,24,1,1,1,1,0,1,4.3,66.5,0,0,0,0,1,0,0,1
17000,23,0,1,1,1,0,0,4.3,66.5,1,0,0,0,0,0,0,1
17000,24,1,1,1,1,0,1,4,3,0,1,0,1,0,0,0,1
17000,29,0,1,1,1,0,1,4.3,66.5,0,1,0,1,1,0,0,1
17000,27,0,1,1,1,0,1,4.5,152,1,1,1,0,1,0,0,1
17000,30,0,1,1,1,0,0,4.5,839,0,0,1,0,0,0,0,1
17000,24,1,1,1,1,0,0,4.3,66.5,0,1,1,1,0,0,0,1
17000,24,0,1,1,1,0,1,4.3,66.5,1,0,1,1,1,0,0,1
17000,24,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1
17000,24,0,1,1,1,0,1,4.3,375,1,1,0,1,1,0,0,1
17000,26,0,1,1,1,0,1,4.3,66.5,0,0,1,1,1,0,0,1
17000,29,1,1,1,1,0,1,4.3,66.5,1,1,0,0,0,0,0,1
17000,24,1,1,1,1,0,1,3.7,124,0,1,1,1,0,0,0,1
17000,28,1,1,1,1,0,1,4,3,0,1,0,1,1,0,0,1
17000,22,1,1,1,1,0,0,5,4,0,1,1,1,0,0,0,1
17000,29,0,1,1,1,0,1,4.2,2428,0,1,1,0,0,0,0,1
17000,24,1,1,1,1,0,0,4.3,375,0,0,1,1,0,0,0,1
17000,26,1,1,1,1,0,1,4.6,18,1,1,0,0,0,0,0,1
17000,27,0,1,1,1,0,0,4.3,66.5,0,0,0,0,1,0,0,1
17000,28,1,1,1,1,0,0,4.3,396,0,0,1,1,1,0,0,1
17000,21,1,1,1,1,0,0,4.4,265,0,1,0,1,0,0,0,1
17000,25,0,1,1,1,0,0,5,6,1,0,1,0,0,0,0,1
17000,28,1,1,1,1,0,0,4.3,66.5,0,1,1,1,1,0,0,1
17000,28,1,1,1,1,0,0,4.5,152,1,1,0,0,1,0,0,1
17000,27,1,1,1,1,0,1,4.4,7658,0,0,1,0,1,0,0,1
17000,30,1,1,1,1,0,1,4,4,0,0,0,0,0,0,0,1
17000,20,1,1,1,1,0,0,4.3,86,0,1,1,1,0,0,0,1
17000,29,1,1,1,1,0,1,4.5,13,1,1,0,0,1,0,0,1
17000,28,1,1,1,1,0,1,5,3,0,0,0,0,0,0,0,1
17000,30,0,1,1,1,0,0,4.2,301,0,1,1,0,0,0,0,1
17500,21,1,1,1,1,0,0,4.3,66.5,0,0,1,0,0,0,0,1
18000,27,1,1,1,1,0,0,4.2,37,1,0,1,1,1,0,0,1
18000,26,0,1,1,1,0,1,4.3,396,1,0,0,0,1,0,0,1
18000,25,0,1,1,1,0,0,2.8,17,0,0,0,1,1,0,0,1
